Date,Month_Num,Weekday,AI_Platform,AI_Model_Version,Active_Users,New_Users,Churned_Users,Daily_Churn_Rate,Retention_Rate,User_ID,Query_Type,Input_Text,Input_Text_Length,Response_Tokens,Topic_Category,User_Rating,User_Experience_Score,Session_Duration_sec,Device_Type,Language,Response_Accuracy,Response_Speed_sec,Response_Time_Category,Correction_Needed,User_Return_Frequency,Customer_Support_Interactions,Region
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,c878a177-2da9-4224-8cf8-1d56a1c6a755,General,Draft a professional email about personal finance,7,280,Professional Writing,4,1.28,40,Mobile,es,0.7842,3.3,Standard,0,6,2,Antarctica (the territory South of 60 deg S)
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,7096d0f1-d0dc-4333-a5d0-de9dfd1b99fa,General,Write a blog post about personal finance,7,80,Content Creation,4,1.28,24,Laptop/Desktop,zh,0.8194,3.28,Standard,1,2,2,Ukraine
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,e690c254-582f-49c1-89c3-0b4dd8ee59be,General,What are the best practices for AI ethics?,8,131,Best Practices,3,0.88,34,Mobile,en,0.809,3.07,Standard,0,2,0,Grenada
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,0b6a010d-9d03-44c4-bf7f-7f8d2cc461e2,General,Write a blog post about climate change,7,426,Content Creation,5,1.68,18,Mobile,fr,0.8233,3.06,Standard,0,9,0,Guyana
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,ffa90616-1fa9-48ff-842d-e84e193c64f4,Technical,Debug this error in REST APIs:,6,215,Debugging,5,2.04,10,Mobile,de,0.9366,1.48,Fast,0,9,3,India
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,eabd6678-8383-40e9-98d8-0d4814d6daf9,Technical,Optimize this SQL optimization code:,5,268,Code Optimization,5,2.04,18,Mobile,de,0.8992,1.8,Fast,0,5,2,Sweden
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,914e7cef-0512-4a9b-a144-b4da35d11f4c,General,How to implement neural networks in Python?,7,299,Implementation Help,5,2.04,53,Mobile,fr,0.9623,1.66,Fast,0,10,3,Armenia
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,57a6cc5b-8884-4553-bdcf-e4579f92581b,Technical,Explain REST APIs algorithm,4,147,Algorithm Explanation,5,2.04,50,Laptop/Desktop,fr,0.9832,1.83,Fast,0,8,2,Isle of Man
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,c6bb6063-5271-43d3-a16e-b4ca2149f246,Technical,Explain REST APIs algorithm,4,64,Algorithm Explanation,5,2.04,49,Mobile,es,0.9067,1.75,Fast,0,6,1,Honduras
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,25f9fff3-0edf-4144-a435-08f1a8f50799,Technical,Optimize this REST APIs code:,5,326,Code Optimization,4,1.64,33,Mobile,de,0.9096,1.52,Fast,0,5,3,Faroe Islands
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,b5975459-b32a-453e-b12a-3128699e2827,General,How to implement REST APIs in Python?,7,263,Implementation Help,5,2.04,20,Mobile,es,0.8947,1.54,Fast,1,7,0,Ukraine
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,71452404-7923-4a14-af38-6ab8919abc50,General,How to implement neural networks in Python?,7,299,Implementation Help,5,2.04,19,Mobile,de,0.9272,1.58,Fast,1,10,1,Singapore
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,402b0c38-8776-46ad-9423-1eb0ff1c916a,Technical,Explain SQL optimization algorithm,4,98,Algorithm Explanation,5,2.04,60,Laptop/Desktop,es,0.9659,1.8,Fast,0,4,3,Canada
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,50cbaaa0-406b-4c9b-a190-10a79748c608,General,How to implement neural networks in Python?,7,151,Implementation Help,5,2.04,43,Mobile,en,0.9008,1.81,Fast,0,5,0,Andorra
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,204099c9-6d67-4f45-9f2e-833f3d3a4d18,Technical,Debug this error in REST APIs:,6,344,Debugging,5,2.04,23,Tablet,zh,0.9676,1.69,Fast,0,8,3,Mayotte
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,15973297-a109-469a-808c-3106f5d9d99f,Technical,Debug this error in REST APIs:,6,269,Debugging,5,2.04,32,Laptop/Desktop,fr,0.8954,1.6,Fast,0,4,0,Korea
2024-12-11,12,Wednesday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,580aa5fc-eecd-4d5b-991f-891fe1148c0d,General,Explain AI ethics in simple terms,6,344,Education,4,1.1,19,Mobile,en,0.6709,3.78,Standard,0,5,1,Sri Lanka
2024-12-11,12,Wednesday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,c46e5bfa-a271-4780-8253-41eedafa11a6,General,What are the best practices for climate change?,8,50,Best Practices,4,1.1,20,Mobile,es,0.7234,3.98,Standard,0,2,0,Ethiopia
